split,epoch,image_idx,accuracy,dice,iou,precision,recall,sensitivity,specificity,auc
train,1,0,0.059468587239583336,0.05613058089294197,0.02973429361979116,0.02973429361979116,0.4999999999998575,0.4999999999998575,0.4999999999999908,0.5688121957821253
train,1,1,0.060546875,0.057090239410680484,0.030273437499999487,0.030273437499999487,0.49999999999986006,0.49999999999986006,0.49999999999999073,0.5548353998217399
train,1,2,0.048041449652777776,0.04583926491523156,0.024020724826388482,0.024020724826388482,0.49999999999982353,0.49999999999982353,0.49999999999999095,0.551175824126872
train,1,3,0.048604329427083336,0.04635144836149786,0.024302164713541255,0.024302164713541255,0.4999999999998256,0.4999999999998256,0.49999999999999106,0.5646269474543395
train,1,4,0.8675011528862847,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5703750167218482
train,1,5,0.8558875189887153,0.0,0.0,0.0,0.0,0.0,0.9999999999999817,0.7252638535728133
train,1,6,0.9073842366536459,0.0,0.0,0.0,0.0,0.0,0.9999999999999822,0.6606790482023657
train,1,7,0.8442043728298612,0.0,0.0,0.0,0.0,0.0,0.9999999999999816,0.579127918357403
train,1,8,0.8554772271050347,0.0,0.0,0.0,0.0,0.0,0.9999999999999817,0.5
train,1,9,0.8589986165364584,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
train,1,10,0.8887871636284722,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5
train,1,11,0.889984130859375,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5
train,1,12,0.8469458685980903,0.0,0.0,0.0,0.0,0.0,0.9999999999999816,0.4712940776675344
train,1,13,0.9077962239583334,0.0,0.0,0.0,0.0,0.0,0.9999999999999822,0.4740420615723061
train,1,14,0.8774651421440972,0.0,0.0,0.0,0.0,0.0,0.9999999999999819,0.45671656127875326
train,1,15,0.8386908637152778,0.0,0.0,0.0,0.0,0.0,0.9999999999999816,0.4691058167101544
train,1,16,0.9047342936197916,0.0,0.0,0.0,0.0,0.0,0.9999999999999822,0.7195965512363469
train,1,17,0.8498653835720487,0.0,0.0,0.0,0.0,0.0,0.9999999999999817,0.7339808634750387
train,2,0,0.6544477674696181,0.06127024930369513,0.03248498293741597,0.05752008762069491,0.12755477314760366,0.12755477314760366,0.8709890050861409,0.4938998816630714
train,2,1,0.6497429741753472,0.07841699362738865,0.04233571803190293,0.07061433064509154,0.12762390183363473,0.12762390183363473,0.8710321263472409,0.49859054036800304
train,2,2,0.6850975884331597,0.04186021050526006,0.021739222910450117,0.037984862430234495,0.12744307637799346,0.12744307637799346,0.8710005117091446,0.4928244418985731
train,2,3,0.6521267361111112,0.07041863758531913,0.03777740038181393,0.057000439014667476,0.1260083283579791,0.1260083283579791,0.8709311790972977,0.4926141922005385
train,2,4,0.8442043728298612,0.0,0.0,0.0,0.0,0.0,0.9999999999999816,0.49636338381850376
train,2,5,0.8882666693793403,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5024202879372801
train,2,6,0.860260009765625,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5092597719865635
train,2,7,0.9002651638454862,0.0,0.0,0.0,0.0,0.0,0.9999999999999821,0.5166319052428553
train,2,8,0.865203857421875,0.0014215904042644556,0.000711807100275667,0.020846905537323473,0.0007358859376794905,0.0007358859376794905,0.9986537662513386,0.49428086886807154
train,2,9,0.8476291232638888,0.0015075809786350993,0.0007549286053231623,0.02280130293144755,0.0007795621088266968,0.0007795621088266968,0.9986557832516834,0.49399245469702113
train,2,10,0.8876766628689237,0.0018173823831153988,0.0009103456376821689,0.020195439739282117,0.0009515039901777313,0.0009515039901777313,0.9986783168593829,0.4965728646629366
train,2,11,0.8567521837022569,0.0016094525898444308,0.0008060235516148376,0.0267100977196957,0.0008297243696116831,0.0008297243696116831,0.9986556503395387,0.495550942017869
train,2,12,0.9072435167100694,0.00041383387525852387,0.00020700260231836795,0.019943019942451765,0.00020908629289996444,0.00020908629289996444,0.9996883417803931,0.5074647351657335
train,2,13,0.8541174994574653,0.00021843166067630048,0.00010923969174542997,0.015624999999556107,0.00010998460215567622,0.00010998460215567622,0.999675128775415,0.5062373799159183
train,2,14,0.8769192165798612,0.0003154574132491403,0.00015777847901542674,0.01988636363579868,0.00015898973380572387,0.00015898973380572387,0.9996814570182886,0.5010055441109402
train,2,15,0.9041849772135416,0.0004780724120345238,0.00023915053729146418,0.021367521366912605,0.0002417405318290921,0.0002417405318290921,0.9996905003225035,0.5107929860985547
train,2,16,0.056525336371527776,0.10111379789312364,0.05336106005322366,0.05638407788736495,0.5066958932805425,0.5066958932805425,0.5004208678638065,0.5022369762600601
train,2,17,0.07220458984375,0.12494410007311801,0.06688297025389797,0.07199413567200072,0.49853535593984477,0.49853535593984477,0.4998554183334418,0.4964943425230534
train,3,0,0.8498653835720487,0.0,0.0,0.0,0.0,0.0,0.9999999999999817,0.49985113915335877
train,3,1,0.8554772271050347,0.0,0.0,0.0,0.0,0.0,0.9999999999999817,0.4998614070765903
train,3,2,0.9077962239583334,0.0,0.0,0.0,0.0,0.0,0.9999999999999822,0.4998581226435164
train,3,3,0.8887871636284722,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.4998831773173409
train,3,4,0.8774651421440972,0.0,0.0,0.0,0.0,0.0,0.9999999999999819,0.5
train,3,5,0.8546702067057291,0.0,0.0,0.0,0.0,0.0,0.9999999999999817,0.5
train,3,6,0.860260009765625,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
train,3,7,0.8442043728298612,0.0,0.0,0.0,0.0,0.0,0.9999999999999816,0.5
train,3,8,0.8469458685980903,0.0,0.0,0.0,0.0,0.0,0.9999999999999816,0.5
train,3,9,0.889984130859375,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5
train,3,10,0.9002651638454862,0.0,0.0,0.0,0.0,0.0,0.9999999999999821,0.5
train,3,11,0.8558875189887153,0.0,0.0,0.0,0.0,0.0,0.9999999999999817,0.5
train,3,12,0.8675011528862847,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
train,3,13,0.9047342936197916,0.0,0.0,0.0,0.0,0.0,0.9999999999999822,0.5
train,3,14,0.8386908637152778,0.0,0.0,0.0,0.0,0.0,0.9999999999999816,0.5
train,3,15,0.9073842366536459,0.0,0.0,0.0,0.0,0.0,0.9999999999999822,0.5
train,3,16,0.8882666693793403,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5
train,3,17,0.8589986165364584,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
train,4,0,0.9077962239583334,0.0,0.0,0.0,0.0,0.0,0.9999999999999822,0.5
train,4,1,0.9002651638454862,0.0,0.0,0.0,0.0,0.0,0.9999999999999821,0.5
