epoch,loss,accuracy,dice,iou,precision,recall,sensitivity,specificity,auc
1,509643.9360557265,0.6894657464674961,0.011411751865575104,0.00601836781442891,0.00601836781442891,0.11111111111107592,0.11111111111107592,0.8888888888888727,0.561090674221091
2,7.421871900558472,0.7368260136357061,0.026989210594721248,0.01435986837633173,0.028826310230140113,0.08432654480581024,0.08432654480581024,0.9154226696130857,0.5004018610797526
3,0.9986502329508463,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.4999696581217115
4,0.9541315237681071,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
5,0.9096297952863905,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
6,0.8671707113583883,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.4999999110787408
7,0.8271582457754347,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
8,0.7905778884887695,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
9,0.7569604317347208,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
10,0.7263230284055074,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
11,0.6986014909214444,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
12,0.6739085978931851,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
13,0.6515455312199063,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
14,0.631496376461453,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
15,0.6137972672780355,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5
16,0.5979376567734612,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
17,0.5835697452227274,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
18,0.5711736347940233,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
19,0.5599279999732971,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
20,0.5499462485313416,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
21,0.5412065320544772,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
22,0.5334192845556471,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
23,0.526377883222368,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
24,0.5202735794915093,0.8720657913773147,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
25,0.5147589246431986,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
26,0.5098134610388014,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
27,0.5055176417032877,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
28,0.5016372998555502,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
29,0.49821389383739895,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
30,0.49515673849317765,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
31,0.4924076232645247,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
32,0.4900281098153856,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
33,0.4878249433305528,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
34,0.48584698306189644,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
35,0.4841475188732147,0.872065791377315,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
36,0.4825561609533098,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
37,0.4812447660499149,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
38,0.47995677921507096,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
39,0.47880615790685016,0.8720657913773147,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5
