epoch,loss,accuracy,dice,iou,precision,recall,sensitivity,specificity,auc
59,0.4705759353107876,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
60,0.47046298450893825,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
61,0.4703687032063802,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
62,0.47026825282308793,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
63,0.47017677625020343,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
64,0.4701022108395894,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
65,0.47003351979785496,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
66,0.46998196840286255,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
67,0.4699208703305986,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
68,0.46987154417567784,0.872065791377315,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
69,0.4698251022232903,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
70,0.4697868757777744,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
71,0.469745268424352,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
72,0.46969862778981525,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
73,0.4696662591563331,0.8720657913773147,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
74,0.46964474187956917,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
75,0.4696052538024055,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
76,0.46958305438359577,0.872065791377315,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
77,0.46956200732125175,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
78,0.4695412781503465,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5
79,0.4695230656199985,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
80,0.46950657500161064,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
81,0.4694916076130337,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
82,0.46947462691201103,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
83,0.469466401471032,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
84,0.46945180826716953,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
85,0.4694364435142941,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
86,0.46942824125289917,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
87,0.46941574414571124,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
88,0.46941636668311226,0.8720657913773147,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
89,0.46940109464857316,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
90,0.4693994853231642,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
91,0.4693909486134847,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
92,0.4693829086091783,0.8720657913773147,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
93,0.46937889522976345,0.8720657913773149,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
94,0.46937376260757446,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.999999999999982,0.5
95,0.46936702728271484,0.8720657913773147,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
96,0.4693650934431288,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
97,0.46935945087009007,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
98,0.4693557057115767,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
99,0.4693520168463389,0.8720657913773148,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
100,0.4693494074874454,0.8720657913773147,0.0,0.0,0.0,0.0,0.0,0.9999999999999818,0.5
